model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,01_buddhist_culture,text,33.3,0.035435,14649,5903
gemini-2.5-pro,kaggle,2026-09-26,01_buddhist_culture,text,6.7,0.009176,943,10840
gemini-3-flash-preview,kaggle,2026-09-26,01_buddhist_culture,text,26.7,0.022960,8116,2867
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,01_buddhist_culture,text,26.7,0.000755,901,629
gemini-3.1-pro-preview,kaggle,2026-09-26,01_buddhist_culture,text,33.3,0.177966,15293,8214
gemini-3.5-flash,kaggle,2026-09-26,01_buddhist_culture,text,33.3,0.102874,11893,3889
gemini-3.5-flash-lite,kaggle,2026-09-25,01_buddhist_culture,text,26.7,0.001922,1257,654
gemini-3.6-flash,kaggle,2026-09-25,01_buddhist_culture,text,40.0,0.042068,11662,4636
gemini-3.7-flash,kaggle,2026-09-25,01_buddhist_culture,text,33.3,0.029471,8303,2424
gemini-3.8-flash,kaggle,2026-09-25,01_buddhist_culture,text,33.3,0.033270,9316,3135
