model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,02_pali_gatha,text,40.0,0.024635,10249,4477
gemini-2.5-pro,kaggle,2026-09-26,02_pali_gatha,text,26.7,0.272765,27637,20856
gemini-3-flash-preview,kaggle,2026-09-26,02_pali_gatha,text,26.7,0.023536,8232,2943
gemini-3.1-flash-lite-preview,kaggle,2026-09-26,02_pali_gatha,text,13.3,0.002237,1878,828
gemini-3.1-pro-preview,kaggle,2026-09-26,02_pali_gatha,text,53.3,0.165580,14185,8027
gemini-3.5-flash,kaggle,2026-09-26,02_pali_gatha,text,60.0,0.103602,11898,3846
gemini-3.5-flash-lite,kaggle,2026-09-25,02_pali_gatha,text,20.0,0.001468,779,861
gemini-3.6-flash,kaggle,2026-09-25,02_pali_gatha,text,33.3,0.042618,11736,4833
gemini-3.7-flash,kaggle,2026-09-25,02_pali_gatha,text,33.3,0.029846,8330,2618
gemini-3.8-flash,kaggle,2026-09-25,02_pali_gatha,text,40.0,0.029834,8327,2683
