model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,03_classical_literature,text,20.0,0.025936,10794,4584
gemini-2.5-pro,kaggle,2026-09-26,03_classical_literature,text,0.0,,,
gemini-3-flash-preview,kaggle,2026-09-25,03_classical_literature,text,46.7,0.017180,6074,2874
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,03_classical_literature,text,33.3,0.002466,2054,1107
gemini-3.1-pro-preview,kaggle,2026-09-26,03_classical_literature,text,53.3,0.190476,16283,8677
gemini-3.5-flash,kaggle,2026-09-25,03_classical_literature,text,33.3,0.113976,13074,4499
gemini-3.5-flash-lite,kaggle,2026-09-25,03_classical_literature,text,33.3,0.005223,2472,1116
gemini-3.6-flash,kaggle,2026-09-25,03_classical_literature,text,40.0,0.040472,11186,4690
gemini-3.7-flash,kaggle,2026-09-25,03_classical_literature,text,46.7,0.034262,9530,2781
gemini-3.8-flash,kaggle,2026-09-25,03_classical_literature,text,33.3,0.038870,10759,3712
