model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,04_kavi_sindu,text,60.0,0.101983,43326,9666
gemini-2.5-pro,kaggle,2026-09-26,04_kavi_sindu,text,0.0,,,
gemini-3-flash-preview,kaggle,2026-09-25,04_kavi_sindu,text,26.7,0.041735,14354,5859
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,04_kavi_sindu,text,13.3,0.008636,6167,2552
gemini-3.1-pro-preview,kaggle,2026-09-26,04_kavi_sindu,text,53.3,0.295523,37175,10962
gemini-3.5-flash,kaggle,2026-09-25,04_kavi_sindu,text,20.0,0.038566,4486,3667
gemini-3.5-flash-lite,kaggle,2026-09-25,04_kavi_sindu,text,13.3,0.014117,6114,2324
gemini-3.6-flash,kaggle,2026-09-25,04_kavi_sindu,text,66.7,0.106684,34801,7674
gemini-3.7-flash,kaggle,2026-09-25,04_kavi_sindu,text,60.0,0.092375,30663,4755
gemini-3.8-flash,kaggle,2026-09-25,04_kavi_sindu,text,40.0,0.111547,36402,6705
