model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,06_daily_spoken,text,46.7,0.007219,3347,1879
gemini-2.5-pro,kaggle,2026-09-26,06_daily_spoken,text,0.0,0.007144,745,7340
gemini-3-flash-preview,kaggle,2026-09-25,06_daily_spoken,text,60.0,0.018173,6505,2472
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,06_daily_spoken,text,46.7,0.000224,597,461
gemini-3.1-pro-preview,kaggle,2026-09-26,06_daily_spoken,text,66.7,0.056790,5180,4019
gemini-3.5-flash,kaggle,2026-09-26,06_daily_spoken,text,60.0,0.050450,6053,2184
gemini-3.5-flash-lite,kaggle,2026-09-25,06_daily_spoken,text,46.7,0.000311,597,460
gemini-3.6-flash,kaggle,2026-09-25,06_daily_spoken,text,73.3,0.020446,5882,2812
gemini-3.7-flash,kaggle,2026-09-25,06_daily_spoken,text,66.7,0.016892,4934,2456
gemini-3.8-flash,kaggle,2026-09-25,06_daily_spoken,text,66.7,0.025509,7232,2815
