model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,07_figurative_sinhala,text,33.3,0.028504,11918,6303
gemini-2.5-pro,kaggle,2026-09-26,07_figurative_sinhala,text,0.0,0.010160,1058,9489
gemini-3-flash-preview,kaggle,2026-09-25,07_figurative_sinhala,text,40.0,0.026758,9421,3622
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,07_figurative_sinhala,text,53.3,0.000423,784,535
gemini-3.1-pro-preview,kaggle,2026-09-26,07_figurative_sinhala,text,53.3,0.160924,13912,8517
gemini-3.5-flash,kaggle,2026-09-25,07_figurative_sinhala,text,40.0,0.041169,4901,3732
gemini-3.5-flash-lite,kaggle,2026-09-25,07_figurative_sinhala,text,40.0,0.000966,916,553
gemini-3.6-flash,kaggle,2026-09-25,07_figurative_sinhala,text,40.0,0.042163,11725,4967
gemini-3.7-flash,kaggle,2026-09-25,07_figurative_sinhala,text,46.7,0.031363,8845,2852
gemini-3.8-flash,kaggle,2026-09-25,07_figurative_sinhala,text,53.3,0.035679,9996,3307
