model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,09_singlish_sms,text,13.3,0.041907,17056,7363
gemini-2.5-pro,kaggle,2026-09-26,09_singlish_sms,text,6.7,0.018340,1855,19316
gemini-3-flash-preview,kaggle,2026-09-26,09_singlish_sms,text,33.3,0.022950,7940,3519
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,09_singlish_sms,text,13.3,0.000785,625,975
gemini-3.1-pro-preview,kaggle,2026-09-26,09_singlish_sms,text,40.0,0.157752,13436,8096
gemini-3.5-flash,kaggle,2026-09-25,09_singlish_sms,text,20.0,0.119601,13579,4736
gemini-3.5-flash-lite,kaggle,2026-09-25,09_singlish_sms,text,26.7,0.006937,3081,1318
gemini-3.6-flash,kaggle,2026-09-25,09_singlish_sms,text,26.7,0.044684,12194,5134
gemini-3.7-flash,kaggle,2026-09-25,09_singlish_sms,text,26.7,0.033625,9245,2828
gemini-3.8-flash,kaggle,2026-09-25,09_singlish_sms,text,33.3,0.037011,10148,3544
