model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,10_regional_dialects,text,13.3,0.044130,18017,7632
gemini-2.5-pro,kaggle,2026-09-26,10_regional_dialects,text,0.0,,,
gemini-3-flash-preview,kaggle,2026-09-25,10_regional_dialects,text,20.0,0.040370,13815,5266
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,10_regional_dialects,text,26.7,0.008075,5742,1948
gemini-3.1-pro-preview,kaggle,2026-09-26,10_regional_dialects,text,33.3,0.272960,23105,12903
gemini-3.5-flash,kaggle,2026-09-25,10_regional_dialects,text,20.0,0.111619,12673,6068
gemini-3.5-flash-lite,kaggle,2026-09-25,10_regional_dialects,text,26.7,0.006736,3033,1379
gemini-3.6-flash,kaggle,2026-09-25,10_regional_dialects,text,40.0,0.066263,18014,7495
gemini-3.7-flash,kaggle,2026-09-25,10_regional_dialects,text,40.0,0.061170,16656,4702
gemini-3.8-flash,kaggle,2026-09-25,10_regional_dialects,text,33.3,0.060086,16367,5455
