model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,11_astrology_beliefs,text,53.3,0.025170,10391,4481
gemini-2.5-pro,kaggle,2026-09-26,11_astrology_beliefs,text,0.0,,,
gemini-3-flash-preview,kaggle,2026-09-25,11_astrology_beliefs,text,53.3,0.018059,6338,2423
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,11_astrology_beliefs,text,60.0,0.002348,1884,903
gemini-3.1-pro-preview,kaggle,2026-09-26,11_astrology_beliefs,text,66.7,0.128516,11028,6939
gemini-3.5-flash,kaggle,2026-09-26,11_astrology_beliefs,text,66.7,0.092598,10607,3468
gemini-3.5-flash-lite,kaggle,2026-09-25,11_astrology_beliefs,text,46.7,0.003920,1904,913
gemini-3.6-flash,kaggle,2026-09-25,11_astrology_beliefs,text,66.7,0.034265,9443,4054
gemini-3.7-flash,kaggle,2026-09-25,11_astrology_beliefs,text,66.7,0.027500,7639,2562
gemini-3.8-flash,kaggle,2026-09-25,11_astrology_beliefs,text,60.0,0.030058,8321,2890
