model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,12_general_knowledge,text,66.7,0.015847,6719,2942
gemini-2.5-pro,kaggle,2026-09-26,12_general_knowledge,text,0.0,,,
gemini-3-flash-preview,kaggle,2026-09-25,12_general_knowledge,text,73.3,0.013607,4908,1863
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,12_general_knowledge,text,13.3,0.000120,143,530
gemini-3.1-pro-preview,kaggle,2026-09-26,12_general_knowledge,text,60.0,0.104022,9041,5352
gemini-3.5-flash,kaggle,2026-09-25,12_general_knowledge,text,80.0,0.059548,6989,2386
gemini-3.5-flash-lite,kaggle,2026-09-25,12_general_knowledge,text,60.0,0.002360,1310,726
gemini-3.6-flash,kaggle,2026-09-25,12_general_knowledge,text,80.0,0.027557,7706,3281
gemini-3.7-flash,kaggle,2026-09-25,12_general_knowledge,text,86.7,0.020833,5913,2066
gemini-3.8-flash,kaggle,2026-09-25,12_general_knowledge,text,73.3,0.023327,6578,2522
