model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,13_sri_lanka_law,text,66.7,0.055985,23024,10111
gemini-2.5-pro,kaggle,2026-09-26,13_sri_lanka_law,text,0.0,,,
gemini-3-flash-preview,kaggle,2026-09-25,13_sri_lanka_law,text,66.7,0.033974,11934,3799
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,13_sri_lanka_law,text,60.0,0.005148,4041,1280
gemini-3.1-pro-preview,kaggle,2026-09-26,13_sri_lanka_law,text,66.7,0.208270,17965,10076
gemini-3.5-flash,kaggle,2026-09-25,13_sri_lanka_law,text,66.7,0.142622,16456,5210
gemini-3.5-flash-lite,kaggle,2026-09-25,13_sri_lanka_law,text,46.7,0.007152,3504,1105
gemini-3.6-flash,kaggle,2026-09-25,13_sri_lanka_law,text,60.0,0.054672,15164,5605
gemini-3.7-flash,kaggle,2026-09-25,13_sri_lanka_law,text,66.7,0.040864,11482,3568
gemini-3.8-flash,kaggle,2026-09-25,13_sri_lanka_law,text,66.7,0.042252,11852,3416
