model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,14_culinary_kitchen,text,20.0,0.030997,12772,6031
gemini-2.5-pro,kaggle,2026-09-26,14_culinary_kitchen,text,0.0,,,
gemini-3-flash-preview,kaggle,2026-09-25,14_culinary_kitchen,text,53.3,0.019482,6860,2682
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,14_culinary_kitchen,text,20.0,0.003123,2448,1063
gemini-3.1-pro-preview,kaggle,2026-09-26,14_culinary_kitchen,text,60.0,0.120710,10425,6525
gemini-3.5-flash,kaggle,2026-09-26,14_culinary_kitchen,text,40.0,0.078193,9054,3026
gemini-3.5-flash-lite,kaggle,2026-09-25,14_culinary_kitchen,text,20.0,0.005109,2430,1049
gemini-3.6-flash,kaggle,2026-09-25,14_culinary_kitchen,text,40.0,0.030314,8435,3661
gemini-3.7-flash,kaggle,2026-09-25,14_culinary_kitchen,text,40.0,0.027007,7553,2781
gemini-3.8-flash,kaggle,2026-09-25,14_culinary_kitchen,text,33.3,0.031702,8805,3038
