model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,15_numbers_maths,text,20.0,0.008882,3839,1869
gemini-2.5-pro,kaggle,2026-09-26,15_numbers_maths,text,0.0,,,
gemini-3-flash-preview,kaggle,2026-09-25,15_numbers_maths,text,33.3,0.008021,2957,1336
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,15_numbers_maths,text,26.7,0.000490,558,622
gemini-3.1-pro-preview,kaggle,2026-09-26,15_numbers_maths,text,26.7,0.067220,5885,4226
gemini-3.5-flash,kaggle,2026-09-25,15_numbers_maths,text,46.7,0.043098,5072,1896
gemini-3.5-flash-lite,kaggle,2026-09-25,15_numbers_maths,text,40.0,0.001335,791,583
gemini-3.6-flash,kaggle,2026-09-25,15_numbers_maths,text,46.7,0.020051,5619,2733
gemini-3.7-flash,kaggle,2026-09-25,15_numbers_maths,text,46.7,0.014940,4256,1788
gemini-3.8-flash,kaggle,2026-09-25,15_numbers_maths,text,46.7,0.014899,4245,1618
