model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,__overall__,audio,43.6,0.466234,259442,6591
gemini-2.5-pro,kaggle,2026-09-26,__overall__,audio,0.0,0.017151,2801,15024
gemini-3-flash-preview,kaggle,2026-09-25,__overall__,audio,17.8,0.380796,183038,4304
gemini-3.1-flash-lite-preview,kaggle,2026-09-26,__overall__,audio,16.9,0.016818,40888,950
gemini-3.1-pro-preview,kaggle,2026-09-26,__overall__,audio,5.3,1.357986,144128,9837
gemini-3.5-flash,kaggle,2026-09-26,__overall__,audio,37.8,1.540992,238363,3625
gemini-3.5-flash-lite,kaggle,2026-09-26,__overall__,audio,27.6,0.055726,93192,1215
gemini-3.6-flash,kaggle,2026-09-25,__overall__,audio,39.1,0.532710,206512,3984
gemini-3.7-flash,kaggle,2026-09-25,__overall__,audio,28.9,0.373013,163926,2670
gemini-3.8-flash,kaggle,2026-09-25,__overall__,audio,30.7,0.464531,188331,3303
