model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,__overall__,vision,32.4,0.397514,349983,7255
gemini-2.5-pro,kaggle,2026-09-26,__overall__,vision,0.0,,,
gemini-3-flash-preview,kaggle,2026-09-25,__overall__,vision,20.9,0.305693,175851,6265
gemini-3.1-flash-lite-preview,kaggle,2026-09-26,__overall__,vision,12.8,0.028305,82669,1202
gemini-3.1-pro-preview,kaggle,2026-09-26,__overall__,vision,19.6,1.228544,155047,14228
gemini-3.5-flash,kaggle,2026-09-25,__overall__,vision,23.0,0.960874,190778,5247
gemini-3.5-flash-lite,kaggle,2026-09-26,__overall__,vision,28.4,0.081981,177203,1461
gemini-3.6-flash,kaggle,2026-09-25,__overall__,vision,44.6,0.556645,279721,5176
gemini-3.7-flash,kaggle,2026-09-25,__overall__,vision,43.9,0.404530,239157,3711
gemini-3.8-flash,kaggle,2026-09-25,__overall__,vision,45.3,0.570692,283467,5093
